order_id,order_date,customer_id,customer_name,country,industry,customer_tier,product,category,quantity,unit_price,discount,revenue,sales_rep
10001,2026-01-28,C098,Customer 098,Finland,Retail,Mid-Market,Analytics Pro,Analytics,1,499,0.05,474.05,Emma Jensen
10002,2025-09-03,C008,Customer 008,United Kingdom,Financial Services,Mid-Market,Business Intelligence,Analytics,2,699,0.15,1188.3,Noah Andersen
10003,2025-06-25,C021,Customer 021,Germany,Technology,SMB,CRM Suite,CRM,1,399,0.05,379.05,Liam Nielsen
10004,2025-02-08,C098,Customer 098,Finland,Retail,Mid-Market,Business Intelligence,Analytics,1,699,0.05,664.05,Clara Madsen
10005,2026-04-22,C068,Customer 068,United Kingdom,Technology,SMB,Workflow Automation,Automation,2,449,0.0,898.0,Noah Andersen
10006,2026-06-22,C025,Customer 025,Finland,Healthcare,SMB,Business Intelligence,Analytics,4,699,0.0,2796.0,Noah Andersen
10007,2026-02-12,C079,Customer 079,Norway,Retail,SMB,Analytics Pro,Analytics,3,499,0.15,1272.45,Noah Andersen
10008,2026-06-09,C068,Customer 068,United Kingdom,Technology,SMB,Marketing Automation,Marketing,2,599,0.0,1198.0,Clara Madsen
10009,2026-05-21,C045,Customer 045,Sweden,Professional Services,Mid-Market,Customer Support,Customer Experience,3,299,0.05,852.15,Emma Jensen
10010,2025-02-05,C060,Customer 060,Norway,Retail,SMB,Data Platform,Data,1,799,0.1,719.1,Clara Madsen
10011,2025-01-20,C012,Customer 012,Belgium,Financial Services,SMB,Customer Support,Customer Experience,1,299,0.0,299.0,Emma Jensen
10012,2025-11-17,C032,Customer 032,Denmark,Healthcare,SMB,Customer Support,Customer Experience,4,299,0.2,956.8,Clara Madsen
10013,2026-05-27,C096,Customer 096,Germany,Professional Services,Mid-Market,Analytics Basic,Analytics,3,249,0.1,672.3,Liam Nielsen
10014,2026-02-04,C092,Customer 092,Netherlands,Technology,SMB,Analytics Pro,Analytics,4,499,0.05,1896.2,Lucas Thomsen
10015,2026-04-16,C013,Customer 013,United Kingdom,Financial Services,SMB,Workflow Automation,Automation,1,449,0.15,381.65,Noah Andersen
10016,2025-05-23,C031,Customer 031,Germany,Manufacturing,SMB,Workflow Automation,Automation,4,449,0.0,1796.0,Lucas Thomsen
